字段,释义、备注
cash_received_from_sales_of_goods,销售商品、提供劳务收到的现金： 公司销售商品、提供劳务实际收到的现金 :investopedia
refunds_of_taxes,收到的税费返还： 公司按规定收到的增值税、所得税等税费返还额 :mba
net_deposit_increase,客户存款和同业存放款项净增加额
net_increase_from_central_bank,向中央银行借款净增加额
net_increase_from_other_financial_institutions,向其他金融机构拆入资金净增加额
draw_back_canceled_loans,收回已核销贷款
cash_received_from_interests_and_commissions,收取利息、手续费及佣金的现金
net_increase_from_disposing_financial_assets,处置交易性金融资产净增加额
net_increase_from_repurchasing_business,回购业务资金净增加额
cash_received_from_original_insurance,收到原保险合同保费取得的现金
cash_received_from_reinsurance,收到再保业务现金净额
net_increase_from_insurer_deposit_investment,保户储金及投资款净增加额
net_increase_from_financial_institutions,拆入资金净增加额
cash_received_from_proxy_security,代理买卖证券收到的现金净额
cash_received_from_sub_issue_security,代理承销证券收到的现金净额
cash_from_other_operating_activities,收到其它与经营活动有关的现金：公司除了上述各项目外，收到的其他与经营活动有关的现金，如捐赠现金收入、罚款收入、流动资产损失中由个人赔偿的现金收入等 :mba
cash_from_operating_activities,经营活动现金流入小计
cash_paid_for_goods_and_services,购买商品、接受劳务支付的现金： 公司购买商品、接受劳务实际支付的现金 :investopedia
assets_depreciation_reserves,资产减值准备
exchange_rate_change_effect,汇率变动对现金及现金等价物的影响
other_effecting_cash_equivalent_items,影响现金及现金等价物的其他科目
cash_equivalent_increase,现金及现金等价物净增加额（来源现金流量表主表）
begin_period_cash_equivalent,加:期初现金及现金等价物余额
end_period_cash_equivalent,期末现金及现金等价物余额
cash_paid_for_employee,支付给职工以及为职工支付的现金： 公司实际支付给职工，以及为职工支付的现金，包括本期实际支付给职工的工资、奖金、各种津贴和补贴等 :mba
cash_paid_for_taxes,支付的各项税费： 反映企业按规定支付的各种税费，包括本期发生并支付的税费，以及本期支付以前各期发生的税费和预交的税金等 :mba
net_increase_from_loans_and_advances,客户贷款及垫款净增加额
net_increase_from_central_bank_and_banks,存放中央银行和同业款项净增加额
net_increase_from_lending_capital,拆出资金净增加额
cash_paid_for_comissions,支付手续费及佣金的现金
cash_paid_for_orignal_insurance,支付原保险合同赔付款项的现金
cash_paid_for_reinsurance,支付再保业务现金净额
cash_paid_for_policy_dividends,支付保单红利的现金
net_increase_from_trading_financial_assets,为交易目的而持有的金融资产净增加额
net_increase_from_operating_buy_back,返售业务资金净增加额(经营)
cash_paid_for_other_operation_activities,支付其他与经营活动有关的现金： 反映企业支付的其他与经营活动有关的现金支出，如罚款支出、支付的差旅费、业务招待费的现金支出、支付的保险费等 :mba
cash_paid_for_operation_activities,经营活动现金流出小计
